FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
1,1,1671.8560830860533,1046.2240356083087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1670.9583333333333,1083.2589285714287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,1669.9471299093655,1120.1858006042296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1,1668.9303405572755,1156.7879256965944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1,1667.752336448598,1193.4408099688474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1,1666.746875,1229.69375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1,1665.644171779141,1265.7361963190183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,1558.640350877193,24.87280701754389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1,1558.544052863436,62.83039647577084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1,1558.3761467889908,101.01834862385317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1,1558.3697674418604,139.16046511627906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,2,1558.0777777777778,177.2155555555555,422.49585062240664,40.45435684647305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,2,1557.867256637168,215.46017699115055,421.3529411764706,78.86134453781506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,2,1557.657894736842,253.52631578947376,419.7307692307692,117.482905982906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,3,1557.5093896713615,291.69248826291084,418.41379310344826,155.75862068965512,2120.904761904762,39.01587301587301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,3,1557.435,329.79499999999996,416.94954128440367,194.3761467889908,2121.1094420600857,75.48283261802567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4,1557.1462264150944,367.9622641509434,415.50892857142856,232.9866071428571,2121.3704453441296,112.07085020242926,719.0990990990991,21.135135135135215,NaN,NaN,NaN,NaN,NaN,NaN
18,4,1556.9502369668246,406.0924170616114,414.12719298245617,271.530701754386,2121.516,148.51199999999994,718.7034632034632,58.4783549783549,NaN,NaN,NaN,NaN,NaN,NaN
