FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y
1,15,2056.7880859375,1272.8623046875,1900.218839200761,1256.1184586108468,1676.291825095057,1168.1744296577947,1864.6211412535079,1062.2221702525726,1952.4839773798303,934.1663524976437,1820.4970443349753,923.6241379310345,1896.3297474275023,902.123012160898,1149.8292282430214,834.8697318007662,805.3079470198676,765.7469252601703,607.2653683716565,737.8261379633975,1434.5784557907846,494.00933997509344,1326.0158831003812,454.0654383735705,619.6784636028178,388.9589064072459,1350.4427430093208,354.7636484687084,1786.1401170351105,278.55981794538366
2,13,1675.7926596758819,1204.6749285033366,1863.1663547028545,1099.5229293401965,1951.953095684803,972.1688555347091,1820.8241379310346,960.620197044335,1896.3240262787424,941.1128578132332,1150.0983695652174,873.8589673913043,805.6136999068034,803.083410997204,606.7615313653137,775.3514760147601,1435.0653753026634,532.5447941888619,1326.341779975278,491.21446229913477,620.3639523336643,426.43809996689833,1351.1740259740259,393.4168831168831,1786.84937439846,318.4974334295797,NaN,NaN,NaN,NaN
3,14,1675.0476981490272,1240.5816326530612,1861.6383177570094,1136.5953271028038,1951.383504193849,1010.1318732525629,1821.109375,997.419921875,1896.1753006475485,979.9690101757632,1150.4004048582997,912.831983805668,805.9630314232902,840.488909426987,606.3646308113035,812.8400182315406,1435.5984393757503,571.0450180072029,1326.844282238443,528.3552311435523,620.9743044189853,463.9693944353519,1351.8588761174967,432.0121328224776,1787.6109340133885,358.2513547975773,1674.1596980255517,39.116724738675885,NaN,NaN
4,13,1860.0306893295563,1173.240793201133,1950.668880455408,1047.680265654649,1821.1313725490197,1033.7843137254902,1895.9920112781954,1018.5704887218045,1150.534848897359,951.3635992376803,806.4944547134935,877.775415896488,606.1891954022989,850.1298850574713,1436.0078031212486,609.5444177671069,1327.1727716727717,565.2753357753357,621.7443783068783,501.5125661375662,1352.642112125163,470.52216427640155,1788.3376205787781,398.04051446945334,1674.252336448598,78.15420560747657,NaN,NaN,NaN,NaN
5,13,1858.2933333333333,1209.9180952380952,1949.9586894586894,1085.0384615384614,1821.2437934458787,1070.2805362462761,1895.7367308595585,1057.115782057304,1150.8854366274295,990.0458527237886,806.8818860877684,914.8781512605042,605.8747697974218,887.5059852670349,1436.3857142857144,648.2940476190477,1327.621472392638,602.3098159509202,622.4533333333334,539.029,1353.367549668874,509.15033112582785,1788.9374594944913,437.7864549578743,1674.4397163120568,117.22813238770686,NaN,NaN,NaN,NaN
6,13,1856.5854536725876,1246.2465194431109,1949.2487922705313,1122.3927536231884,1821.3073485600794,1106.4304865938432,1895.4649122807018,1095.4943100995733,1151.0825055187638,1028.5518763796908,807.4274269557021,951.9712535344015,605.5574872508113,924.6923968474733,1436.7254273504273,687.3632478632478,1328.0318352059926,639.416354556804,623.2219776498476,576.5626481544192,1354.125170998632,547.8146374829001,1789.5988181221273,477.607353906763,1674.6222760290557,156.53995157384998,NaN,NaN,NaN,NaN
7,12,1948.334462729913,1159.500968054211,1821.2751243781095,1142.7298507462688,1895.0549738219895,1133.7670157068062,1151.3204986149585,1066.8360110803324,808.0795454545455,988.9621212121212,605.5628784350256,961.8106660456451,1437.1709108716943,725.0935357492655,1328.2843784378438,677.4042904290429,624.0225979243388,614.3466688985604,1354.7665764546684,586.7489851150203,1790.2301117685734,517.4322813938198,1674.6125907990315,195.8232445520582,NaN,NaN,NaN,NaN,NaN,NaN
8,12,1947.4720885466795,1196.366217516843,1894.6513437057993,1171.7135785007072,1821.1985221674877,1178.394581280788,1151.6674020959736,1105.0410921125208,808.6378986866791,1025.7223264540337,605.513876040703,998.9061054579093,1437.7405529953917,763.4133640552996,1328.5976789168278,713.8713733075435,624.7314231738035,652.7292191435769,1355.5378096479792,625.4282920469361,1790.899806701031,557.3163659793814,1674.8882352941177,235.0858823529411,NaN,NaN,NaN,NaN,NaN,NaN
9,12,1946.417555771096,1232.9762366634336,1894.1121962839447,1209.6348261076703,1821.1290480863593,1213.9337585868498,1151.942355543268,1143.0675974564556,809.3778195488721,1062.3026315789473,605.5315398886828,1035.6340445269016,1437.98087431694,801.5519125683061,1328.9027649769585,750.7691244239631,625.6712935617247,690.5779681039575,1356.2517814726841,664.8491686460808,1791.462939091202,597.2985820174025,1675.0247641509434,274.3549528301887,NaN,NaN,NaN,NaN,NaN,NaN
10,12,1945.3905180840666,1269.3954056695993,1893.496185026228,1247.134239389604,1820.981592039801,1249.4074626865672,1152.2210467706013,1180.793429844098,810.1196377502383,1098.7240228789324,605.5645910780669,1072.325278810409,1438.2902930402931,839.6941391941392,1329.2445454545455,787.2381818181818,626.5689461883408,727.0098094170404,1357.058494404883,703.5935910478128,1792.0405150753768,637.7094849246231,1675.0926365795724,313.6128266033254,NaN,NaN,NaN,NaN,NaN,NaN
11,10,1152.5212885154062,1218.4495798319329,810.8295019157088,1134.947318007663,605.6861228316925,1108.7695733708392,1438.6819852941176,877.78125,1329.5341959334567,824.2014787430684,627.6960242959691,764.1361126449475,1357.8049370764763,741.7265246853824,1792.4925573087228,678.0376600178624,1675.208982035928,352.98143712574847,1641.601703940362,47.36315228966987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,11,1152.856067064507,1255.9296675191815,811.7048780487805,1170.7780487804878,605.922401518747,1145.0154247745609,1438.8638941398865,915.7296786389413,1329.68779342723,860.8107981220658,628.8157312690074,801.1544097318219,1358.6095238095238,779.9266666666666,1792.7622107969153,717.3017709225935,1675.3197530864197,392.237037037037,1641.3199129488576,85.9134929270947,1686.0542237442921,61.02397260273983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,12,812.3563106796116,1206.842718446602,606.1091081593928,1181.3111954459202,1439.2476722532588,953.4404096834264,1329.9990757855824,897.4879852125694,629.9579234972678,838.3300546448088,1359.2492957746479,818.325352112676,1793.1904566584633,756.6555920153131,1675.3842482100238,431.5465393794749,1640.933618843683,124.5658458244111,1686.3820887142056,99.88966872543506,798.8496932515337,55.20607919687677,1568.668823860439,41.745357343837895,NaN,NaN,NaN,NaN,NaN,NaN
14,12,813.3150684931506,1242.2896281800392,606.46875,1217.1519886363637,1439.320297951583,991.046554934823,1330.3110383536016,934.0584658559401,631.2468527640941,875.5470717022441,1359.9211017740429,856.7567693744164,1793.4870585063359,795.9691291453222,1675.5167865707433,471.0935251798561,1640.6359015516318,163.27956126270738,1686.6409395973155,138.82270693512305,799.074515235457,93.32714681440439,1568.8441160066927,81.24623535973228,NaN,NaN,NaN,NaN,NaN,NaN
15,12,814.2713444553484,1277.670755642787,606.8768391077361,1252.8635500711912,1439.590994371482,1028.5722326454033,1330.4822097378278,970.2546816479401,632.605766602897,912.538535118885,1360.7003745318352,894.939138576779,1793.7262675296656,835.5795577130528,1675.6137440758293,510.3767772511849,1640.2866666666666,201.90586666666672,1686.7748049052398,177.54570791527317,799.1659292035398,131.32411504424772,1568.9857302742025,120.59736989367661,NaN,NaN,NaN,NaN,NaN,NaN
16,11,1439.7938432835822,1065.7527985074628,1330.6915492957746,1006.4727699530516,633.8094524652684,949.464314900572,1361.2387640449438,933.1788389513108,1793.7876453095432,875.0136523384699,1675.696682464455,549.7547393364929,1639.8879402347918,240.51760939167548,1686.9574763757644,216.48499166203442,799.2943301834352,169.47665369649803,1569.0484949832776,160.06856187290964,1897.6633663366338,58.872937293729365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,11,1439.9132310642378,1102.7953020134228,1330.9141898370087,1042.4856184084372,635.2647545504689,986.2763375620518,1361.9556720686369,971.0729265967589,1793.913576881134,914.374318429662,1675.7979242979243,589.2863247863248,1639.6007625272332,279.281045751634,1687.094070695553,255.43500570125434,799.6173440183171,207.58185460789923,1569.2014326647563,199.5836676217766,1898.840170940171,95.91025641025635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,11,1439.9660852713178,1139.8333333333333,1331.1256015399422,1078.3161693936477,636.7437137330754,1023.01892788063,1362.6059730250481,1008.9894026974952,1793.8800163800163,953.6012831012831,1675.7089371980676,628.8502415458937,1639.162258953168,318.0581267217631,1687.306766055046,294.3870412844037,799.7644675925926,245.72164351851848,1569.3095238095239,239.10104529616729,1900.3396551724138,132.82816091954032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,11,1439.9684159378037,1176.4339164237124,1331.3587896253603,1114.0043227665706,638.3258706467661,1059.4519071310117,1363.2904306220096,1046.5545454545454,1793.9271658923203,992.7290243235857,1675.5566037735848,668.7774694783574,1638.8316966721222,356.8142389525368,1687.398227558605,333.270154373928,799.9893617021277,283.8806785508913,1569.3547550432277,278.5322766570605,1901.6326530612246,169.8327664399094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,11,1440.21694417238,1212.8878550440745,1331.6245210727968,1149.455938697318,640.0289233324107,1095.66662053695,1363.7718539865514,1084.128242074928,1793.8055631679913,1031.6638805152097,1675.281836130306,707.9461994076999,1638.4038357644517,395.563209076175,1687.454133635334,372.2723669309173,800.1210407239819,322.0503393665158,1569.432725199544,318.08551881413916,1903.068321249303,206.93614054656996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,11,1440.2142857142858,1249.139455782313,1331.788038277512,1184.811961722488,641.5997513125172,1131.878281293175,1364.404761904762,1121.4219047619047,1793.7048554282596,1070.3747954173487,1675.217105263158,747.0761278195489,1637.9828510182208,434.33815648445875,1687.6303861219922,411.2073307218802,800.2706576728499,360.2391793142215,1569.5870056497174,357.5022598870056,1904.5049559471365,243.86894273127746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,10,1331.8672480620155,1219.8294573643411,643.3189174107143,1167.8214285714287,1364.9927113702624,1158.4504373177842,1793.447556287754,1109.1529379461833,1674.9912764003673,785.9912764003673,1637.6173275393808,473.09641499185227,1687.62358276644,449.97789115646253,800.5795649685175,398.3168288494562,1569.5500287521563,396.99281196089703,1905.8198653198654,280.7581369248036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,10,1332.158536585366,1254.6814634146342,645.1140252454418,1203.6206171107995,1365.5741106719368,1195.4426877470355,1793.2428097345132,1147.5663716814158,1674.8217960710945,825.0360149672591,1637.215702479339,511.9661157024793,1687.6526497695852,488.97926267281105,800.7523364485982,436.3878504672897,1569.5215743440233,436.4125364431487,1907.221142857143,317.6428571428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,9,646.9362093352192,1239.259830268741,1366.0810276679842,1232.2223320158103,1792.8380912398545,1185.769241533725,1674.5522875816994,864.0574229691877,1636.7624584717607,550.7923588039868,1687.5865551067513,527.9991344489325,1569.457008244994,475.8627797408716,800.99792776791,474.5597986974541,1908.649570200573,354.65071633237824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,8,1366.689054726368,1268.7457711442787,1792.5717075892858,1223.8627232142858,1674.2177570093459,903.0214953271028,1636.2993402968664,589.8139087410665,1687.6796200345423,567.107944732297,1569.5725900116145,515.472706155633,801.234067207416,512.8719582850522,1910.079244218838,391.7069937958263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,7,1792.067529935951,1261.7383737120579,1673.837962962963,941.7101851851852,1635.7442788717403,628.8587014369346,1687.6514301738644,606.209478407179,1569.5142287990893,554.9803642572567,801.3827195467422,551.1300283286118,1911.6982330204307,428.6744892324682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,6,1673.4287054409006,980.2129455909944,1635.0420231504781,668.5271766482134,1687.5125820568928,645.585886214442,1569.3975386376646,594.5595306239268,801.8986254295532,589.3138602520046,1913.1074197120709,465.52934662236987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
