FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
1,13,1516.7524834437086,1214.291390728477,2172.791254346082,1095.2223856646162,1974.6098696461825,927.3137802607076,1766.9174972314506,494.6677740863787,997.7556675062972,445.455919395466,433.12852213916045,426.55577918343874,1609.3793969849246,430.6155778894472,1113.406887755102,390.57142857142856,2028.4886240520043,274.0650054171181,896.7330747531735,216.74224259520452,1466.999425947187,192.62169919632606,2225.815366972477,114.12729357798162,1720.7614678899083,97.32912844036696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,13,1517.3947514579284,1251.5302693696196,2172.237801608579,1132.9675603217158,1975.70908230842,963.0600756859035,1767.71650055371,533.3056478405316,1000.7072538860103,482.52461139896377,433.10498839907194,464.88747099767977,1610.7503160556257,468.807206068268,1115.6339401820546,428.7184655396619,2028.4260065288356,312.54570184983675,897.714846538187,254.70413990007137,1468.1030092592594,230.31944444444434,2227.4669703872437,151.7380410022779,1722.0402298850574,134.45057471264363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,12,2171.70350877193,1170.5623481781377,1976.88330170778,998.6954459203037,1768.4155405405406,571.8175675675676,1003.614401076716,519.5161507402422,433.2582742316785,503.20035460992904,1612.211139896373,506.9261658031088,1117.8687752355315,467.0222072678331,2028.3771444382955,351.02241283895955,898.4816782704287,292.4703187980946,1469.1785290628707,267.93890865954927,2229.019721577726,189.26682134570774,1723.2266355140187,171.37967289719631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,12,2170.9933078393883,1207.970363288719,1977.861886429259,1034.1198267564966,1769.0424208144796,610.6544117647059,1006.4971988795518,556.5672268907563,433.52786190187766,541.5866141732283,1613.640052356021,545.3049738219895,1120.1396648044692,505.4259776536313,2028.134366197183,389.5980281690141,899.4158527422991,330.72727272727275,1470.2277108433734,305.744578313253,2230.646080760095,226.9133016627079,1724.4595238095237,208.38928571428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,13,2170.2047800108635,1245.2447039652363,1978.8320610687024,1069.3625954198474,1769.72710230316,649.6622924477772,1009.444966442953,593.7724832214765,433.54601769911505,580.1442477876107,1615.,583.7705128205129,1122.566757493188,543.8365122615804,2028.1817429674572,428.084666298952,900.0906791907514,368.4985549132948,1471.319036427732,343.38366627497066,2232.3344827586207,264.58620689655163,1725.6689976689977,245.32750582750577,1974.2117537313434,63.470771144278615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,12,1979.6384615384616,1104.4365384615385,1770.2626784835056,688.3990645002461,1012.4282868525896,630.8718459495352,433.98664343786294,618.6910569105692,1616.4872773536895,622.1055979643766,1124.9389574759946,582.0939643347051,2028.1235489220564,466.5668877833057,901.0212077641984,406.4849029475198,1472.4097303634233,380.9853458382181,2233.9147465437786,302.2592165898618,1726.8662790697674,282.2755813953488,1974.0257763975155,102.20962732919247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,12,1980.5538979788257,1139.5529355149183,1770.7723444080486,726.4443144595227,1015.7462077012835,668.8197199533256,434.14964693101575,657.8177620858229,1617.7884386174017,660.9815256257449,1127.1481732070365,620.5243572395128,2028.0453038674034,505.0795580110497,901.8895410885806,444.4683386695126,1473.5140023337224,418.6936989498249,2235.455326460481,339.954753722795,1728.093279258401,319.51969872537654,1973.866687383468,140.97855811062777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,12,1981.3727097396336,1174.2618129218902,1771.4007319304667,764.7346752058554,1018.9875124875125,705.6018981018981,434.52179296681527,696.1166419019316,1619.0980911983033,699.1373276776246,1129.4236641221373,659.5190839694657,2027.9289662797125,543.6133222775014,902.7232905982906,482.3917378917379,1474.4741784037558,456.4612676056338,2237.112009237875,377.74018475750574,1729.2811408614668,356.46973224679857,1973.774773366677,179.7447639887464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,13,1981.982283464567,1208.6358267716535,1771.6850841291496,802.6473396998636,1022.2696737044146,742.1880998080615,435.1100478468899,733.6076555023924,1620.5245649948822,737.096724667349,1131.7433628318583,697.8650442477876,2027.5488081725312,582.2253121452894,903.6027167845181,520.5643840714552,1475.525641025641,494.0103785103785,2238.7357819905214,415.35900473933646,1730.4192771084338,393.5349397590361,1973.5350989151245,218.51052967453734,990.39226869455,43.39353612167292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,13,1982.5499510284035,1243.1542605288932,1772.1518384021788,841.0065819337267,435.80404135338347,771.8956766917294,1025.6709796672828,779.09426987061,1621.844422700587,774.9735812133073,1134.1802443991853,735.5773930753564,2027.3400441257584,621.0554329840044,904.5632818248712,558.6335540838852,1476.5244498777506,531.8838630806846,2240.2423529411763,453.24117647058824,1731.5803357314148,430.7434052757794,1973.4064885496184,257.3431933842239,993.4861635220126,80.69371069182398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
