FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20,MidPointX_21,MidPointY_21,Length_21,Width_21,MidPointX_22,MidPointY_22,Length_22,Width_22,MidPointX_23,MidPointY_23,Length_23,Width_23,MidPointX_24,MidPointY_24,Length_24,Width_24,MidPointX_25,MidPointY_25,Length_25,Width_25,MidPointX_26,MidPointY_26,Length_26,Width_26,MidPointX_27,MidPointY_27,Length_27,Width_27,MidPointX_28,MidPointY_28,Length_28,Width_28,MidPointX_29,MidPointY_29,Length_29,Width_29,MidPointX_30,MidPointY_30,Length_30,Width_30,MidPointX_31,MidPointY_31,Length_31,Width_31,MidPointX_32,MidPointY_32,Length_32,Width_32,MidPointX_33,MidPointY_33,Length_33,Width_33,MidPointX_34,MidPointY_34,Length_34,Width_34,MidPointX_35,MidPointY_35,Length_35,Width_35,MidPointX_36,MidPointY_36,Length_36,Width_36,MidPointX_37,MidPointY_37,Length_37,Width_37,MidPointX_38,MidPointY_38,Length_38,Width_38,MidPointX_39,MidPointY_39,Length_39,Width_39
1,15,937.3531073446328,1259.9180790960452,16.7804449840623,13.686489051358555,688.4403973509934,1189.817880794702,17.073315895919645,11.352004607598301,8.958333333333334,1157.5277777777778,18.388045325236998,15.067343855020548,839.425925925926,1105.9708994708994,18.086871484829373,13.326257380403572,1208.0541401273886,1106.812101910828,17.47336931064016,11.503785956484748,532.9246575342465,1083.849315068493,15.687254271700157,11.941801345478334,927.3679245283018,935.0849056603773,18.485507652221948,14.691964625888957,668.3333333333334,759.202380952381,18.164965051509554,11.887607993863067,1033.7244897959183,742.2074829931972,18.616916327941173,10.124245289256958,423.0979381443299,347.,17.113484849116464,14.60426117911278,967.8333333333334,323.8673469387754,15.35416780527047,12.392108518538985,584.2098445595855,253.08031088082907,17.951304595473783,13.747158283421662,932.2891156462586,165.15306122448987,16.20097151567892,11.647017090928315,1187.012658227848,131.96202531645577,16.44376042694433,12.236380381398616,642.3571428571429,96.30714285714294,15.784545802090769,11.378459399738421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,15,937.2771428571428,1298.922857142857,16.394799290649935,13.820506838771468,688.6292517006802,1229.595238095238,16.898713832534636,11.17610861601597,8.533816425120772,1197.340579710145,17.729404554413097,14.95587050906247,839.0193370165746,1146.5883977900553,17.557709644080436,13.204478541822263,1207.4144736842106,1147.4473684210527,16.979235865119872,11.43710409109945,533.0314685314685,1124.3461538461538,15.441523405777206,12.019380669947902,926.980198019802,976.1831683168317,18.101163610911517,14.332779015106526,668.189024390244,800.8231707317074,17.724676947152787,11.86439404922804,1033.4027777777778,783.7916666666666,18.541726502158532,10.023462995288412,422.8333333333333,388.47883597883606,16.68953879815645,14.593332572287617,968.1604938271605,361.9753086419753,16.95077751739892,12.378889650091764,583.7903225806451,294.4032258064517,17.771476205717477,13.431181051986236,931.9071428571428,206.7285714285715,15.77492454406819,11.449548628318137,1186.9451612903226,173.26129032258063,16.15789139781882,12.256458566227765,641.8014705882352,137.49264705882342,15.59880213846334,11.174498349705164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,16,937.1298342541437,1337.8370165745857,16.500694762130674,14.210892686621609,688.8265306122449,1269.2210884353742,16.921256977176974,11.193992759516318,8.12051282051282,1236.7871794871794,17.195248179085826,14.4826058659956,838.6236559139785,1186.8172043010752,18.034643278166037,13.173543694112919,1206.5251572327045,1187.6635220125786,17.743170193902646,11.442492445101534,533.2133333333334,1164.4666666666667,16.10874990195122,11.914230470638804,926.3796296296297,1017.3148148148148,18.34772740303439,15.057507298025346,667.8872832369942,842.3323699421966,18.518436798634987,11.946830491147765,1032.9109589041095,825.486301369863,18.547453282217752,10.107595713094396,422.1751269035533,429.79949238578683,17.180695735576798,14.764973792134743,968.0555555555555,400.32352941176464,17.49290080868186,11.478302238578028,583.5425531914893,335.622340425532,18.08612277546338,13.27396639195563,931.5342465753424,248.08904109589048,16.238087445599167,11.477828262777356,1186.760606060606,214.81515151515146,16.63103271165597,12.660829805594675,641.5138888888889,178.61805555555566,16.04853748961427,11.4550584545663,856.41875,34.9375,17.671621498903313,11.901498586291497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,16,937.2118644067797,1376.0141242937852,16.2184179213589,14.110690991753703,688.9779411764706,1308.360294117647,15.914933860774463,11.025936767062358,7.957831325301205,1276.1626506024097,16.282186305566746,13.090238237403321,838.3729281767955,1226.7099447513813,17.792635801400806,13.016987051653489,1205.8422818791946,1227.701342281879,17.292209372565008,11.010062038778864,533.427536231884,1204.086956521739,15.081487353668022,11.701429416796843,925.9688995215311,1058.0550239234449,18.1872030189018,14.731861970124005,667.685628742515,883.9071856287425,18.707282327212077,11.443479267608534,1032.8108108108108,867.1351351351351,18.847898176735388,10.091472409935829,422.01851851851853,471.2195767195767,16.623407244939614,14.591681454160915,968.0692307692308,440.9769230769232,16.254305530171358,10.310041707765519,583.2771739130435,377.15760869565224,17.780569254444938,13.252018988495363,931.3652482269504,289.58510638297867,15.508306665460994,11.639723764006003,1186.506329113924,256.4556962025317,16.153777240287198,12.50764391257265,640.9436090225564,219.98872180451121,15.525978565919468,11.046216315055254,856.4219858156029,70.45744680851067,15.701072732306084,11.470079739004074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,17,936.8791208791209,1414.098901098901,15.95632215708291,14.73707285615279,689.2638888888889,1347.6597222222222,16.380622637998822,11.305728287683975,7.488505747126437,1315.2241379310344,16.02289726503827,13.91852047347277,838.1108108108108,1266.3594594594595,17.940509208206457,13.239731996754227,1205.1776315789473,1267.5723684210527,17.347603716809765,11.241296164915937,533.6619718309859,1243.887323943662,15.462450175905213,11.796736061766893,925.3986175115207,1098.5645161290322,18.554455744319963,14.961046668902755,667.4120879120879,925.5879120879121,19.392997759852253,12.08461630063433,1032.6069182389938,908.87106918239,19.39595283734244,10.539042144469029,421.75380710659897,512.7030456852792,17.242538334368007,14.711074391009225,968.3943661971831,480.11267605633805,16.217062504100657,11.188770876028917,582.8948717948718,418.76666666666665,18.071517133808698,13.79271521513433,931.01677852349,331.09060402684554,16.036149352794027,11.90769971575253,1186.2621951219512,298.06097560975604,16.479157672360046,12.697604223251348,640.6875,261.49305555555566,16.10485817848203,11.45344413515656,856.0328467153284,106.86496350364973,16.8943831627011,10.353989758943772,686.1279069767442,25.1104651162791,18.406142743619114,11.926662467291955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,17,936.735632183908,1451.6781609195402,15.262653080848956,14.754700149973587,689.5214285714286,1386.4857142857143,15.755522806387768,11.31793912315108,837.6404494382023,1305.741573033708,17.318083976845152,13.142384510258397,1204.445205479452,1306.9246575342465,16.778481037139695,11.110337603837992,534.0984848484849,1283.0075757575758,15.293051555632468,11.07124781599097,925.18,1138.745,17.627615738603954,14.489595003730178,667.4825581395348,967.0232558139535,18.933082268248427,11.623522286747223,1032.0677419354838,950.3064516129032,19.687264539888968,10.147148477306771,421.29057591623035,554.0078534031413,16.897808257942575,14.548783910528508,967.7957746478874,519.2183098591549,16.369401701650723,11.123829083035094,582.5489130434783,460.2934782608695,17.69146407370688,13.2971101607185,930.6942446043165,372.4928057553957,15.455591180818905,11.492977116472042,1186.06050955414,339.563694267516,16.101935154288935,12.486644559055797,640.4130434782609,302.8840579710145,15.624927990375818,11.313236917848934,855.4426751592357,142.10509554140117,17.5345111060852,11.523701546839764,685.9938271604939,66.40123456790116,17.78433996678142,11.634562202736241,770.91875,21.262500000000045,17.270951911144017,11.811269833635626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,17,936.4239766081871,1488.7280701754387,15.537553091539468,14.308180961832122,689.7068965517242,1424.948275862069,16.039089756219653,11.623070022499828,837.3315217391304,1344.7989130434783,17.697297702570708,13.294660509842041,1203.5915032679738,1346.0424836601308,17.097580427908493,11.430098646219705,534.6510791366907,1321.953237410072,15.52141030199242,11.532033393327719,924.433014354067,1178.968899521531,17.823192830044523,15.021758447108978,667.2722222222222,1008.1388888888889,18.900143957505517,12.236612351560264,1031.8701298701299,991.538961038961,19.510108991433842,10.17236865960554,421.0829145728643,595.5050251256281,17.40086620276388,14.644667572596878,967.5197368421053,558.5,16.4994492083814,11.790890595192502,582.2135416666666,501.92708333333337,17.96016547873608,13.691278945769117,930.4251700680272,414.139455782313,16.142155346185316,11.673978007382901,1185.7666666666667,380.9969696969697,16.1459708048437,13.053271003306252,639.9084507042254,344.1760563380283,15.796176121731431,11.515700134514464,854.0390070921986,176.95390070921985,15.240976462831382,11.961894223209796,685.7321428571429,107.625,18.29757642189769,11.779351376604769,770.5718562874251,62.33233532934128,17.257713204946114,12.357378642496487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,16,690.0984848484849,1463.060606060606,15.38369865094903,11.030562660301202,836.6920903954802,1383.5734463276835,17.38978797385317,13.02292405709064,1202.775167785235,1384.7281879194632,17.322881040211364,11.012837774793583,535.2076923076924,1360.7615384615385,14.802832824634471,11.289851892320796,924.1059113300493,1218.4704433497536,17.67328960025769,14.784937833654412,667.5178571428571,1049.2083333333333,18.58623401584811,11.614644965322377,1031.5,1032.6315789473683,19.490491181399904,10.076108163563855,420.9041450777202,637.0595854922279,16.81648010923522,14.728883291605783,967.1535947712418,598.2385620915032,16.0127649319328,12.391333168627941,581.9308510638298,543.2446808510638,17.57567051327424,13.708892797244523,930.2071428571429,455.75714285714275,15.553853027878707,11.597611597335806,1185.4451219512196,422.82317073170725,16.10269334700072,13.031244012450134,639.6478873239437,385.64084507042253,16.12481553361073,11.251248896442602,852.8401360544218,213.7993197278911,15.770148029396447,11.917696053044027,684.9698795180723,148.7590361445782,17.996562664888856,11.768835978325482,770.1050955414013,103.4426751592357,17.010878016516873,11.75788516282103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,16,7.148484848484848,1466.1969696969697,16.32157065941736,12.911919404427536,836.3777777777777,1421.7222222222222,17.494061166951486,13.143474057748685,1201.8071895424837,1422.9967320261437,17.18052527323101,11.425201096512422,535.6240310077519,1399.1821705426357,14.34693047172875,11.554760935965867,923.4853658536585,1258.0463414634146,17.596762217031195,14.988583517476473,667.5239520958083,1090.1047904191616,18.6116252788182,11.474930314793903,1031.0133333333333,1073.8466666666668,19.207849150839866,10.016628280498965,420.3781725888325,678.8604060913706,17.025106734117468,14.873153661912674,967.1486486486486,638.6081081081081,16.32154089648599,11.716781914843741,581.6010638297872,584.8882978723404,18.25983882837116,13.182931913606254,929.851724137931,497.56206896551726,15.415250847621406,12.022883686917204,1185.1583850931677,464.6490683229813,16.20475450287122,12.712905268214154,639.4154929577464,427.50704225352115,16.052083004338744,11.359246281944394,850.9580645161291,249.61612903225796,18.959100461321007,10.657068698076309,684.3588235294118,190.11764705882342,18.262968882053283,11.901313736357716,769.8374233128834,144.7699386503068,17.717393891291838,11.750563262332726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,17,835.9561403508771,1459.657894736842,17.469464889123934,12.505991433157204,1201.041935483871,1460.9,16.61175871022379,11.911097280359622,536.4512195121952,1437.0772357723577,13.817388393059165,11.485016725303245,923.0615763546798,1296.8103448275863,17.452589456261475,14.92683350306163,667.859756097561,1130.7682926829268,18.29765989075414,11.528225586597063,1030.741610738255,1114.2046979865772,18.89442269042273,10.098859489551348,420.1461538461538,720.2948717948718,16.811793099072922,14.949483532746914,966.9014598540145,679.1277372262774,15.332617208600226,11.416384464591431,581.436170212766,626.6170212765958,18.144248429297033,13.293409019464056,929.472027972028,539.3181818181819,15.745823548378201,11.651239094521118,1184.9375,506.5,16.307951175224407,12.529494342011446,638.7971014492754,469.01449275362324,15.671783617902364,11.32880611967218,849.2096774193549,286.183870967742,16.783799641042375,11.842039212495507,683.8614457831326,231.632530120482,17.894546667331152,11.867416303729595,769.4090909090909,186.31212121212116,17.206789740224675,12.250132409249584,964.494623655914,27.51612903225805,18.930137647264065,12.574513196266828,809.4172413793103,14.63793103448279,17.598954260267185,10.532743596083481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
